Rutas,Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Dirección,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Número de teléfono,Correo electrónico,Sitio en Internet,Latitud,Longitud,AGEB,MANZANA
FMR09_07,FERRETERIA EL ANGEL,,0 a 5 personas,CALLE VICENTE GUERRERO 59 BARRIO BARRIO DE SANTA CRUZ,52143,15,MÉXICO                      ,54,Metepec,1,Metepec,,,,19.25496368,-99.60129938,737,5
FMR09_02,FERRETERIA EL HALCON,,0 a 5 personas,CALLE MORELOS  BARRIO SANTA CRUZ,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,,,,19.25359533,-99.60652623,563,26
FMR16_06,FERRETERIA EL NEVADO,,0 a 5 personas,CALLE CONSTITUCION 29 LOCALIDAD SAN LUCAS TUNCO,52145,15,MÉXICO                      ,54,Metepec,43,San Lucas Tunco (San Lucas),7282873694,,,19.23346946,-99.53444609,741,10
FMR18_01,FERRETERIA ENRIQUEZ,,0 a 5 personas,CALLE GUERRERO 12 LOCALIDAD SANTIAGO,52160,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22689843,-99.6279064,31,20
FMR04_04,FERRETERIA FERREMATERIALES REYES,,0 a 5 personas,CALLE FRANCISCO JAVIER MINA  PUEBLO SANTA MARIA MAGDALENA OCOTITLAN,52161,15,MÉXICO                      ,54,Metepec,55,Santa María Magdalena Ocotitlán,,PERLAPG67@OUTLOOK.COM,,19.23712309,-99.62403338,506,7
FMR04_10,FERRETERIA FERREMAX,,0 a 5 personas,CALLE MIGUEL HIDALGO 2 COLONIA SANTA MARIA MAGDALENA OCOTITLAN,52161,15,MÉXICO                      ,54,Metepec,55,Santa María Magdalena Ocotitlán,,,,19.2385157,-99.6192401,506,11
FMR11_07,FERRETERIA FERRESTRA,,0 a 5 personas,CALLE AVENIDA GOBERNADORES 1400 LOCALIDAD SAN FRANCISCO COAXUSCO,52176,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.27065496,-99.60073183,898,7
FMR07_05,FERRETERIA GCG,,0 a 5 personas,CALLE MIGUEL HIDALGO  LOCALIDAD SAN FRANCISCO COAXUSCO,52158,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.27143866,-99.62647104,830,13
FMR13_05,FERRETERIA GRUPO MONARCA,,0 a 5 personas,CALLE 5 DE FEBRERO  PUEBLO SAN SALVADOR TIZATLALLI,52172,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,7225403771,,,19.2639081,-99.57700263,1241,11
FMR16_02,FERRETERIA JESSY,,0 a 5 personas,CALLEJON 16 DE SEPTIEMBRE 69 BARRIO SAN SEBASTIAN,52146,15,MÉXICO                      ,54,Metepec,52,San Sebastián,7228710286,,,19.23025636,-99.55006348,078A,4
FMR10_05,FERRETERIA JISA,,0 a 5 personas,AVENIDA MANUEL J. CLOUTHIER  COLONIA LA PROVIDENCIA,52176,15,MÉXICO                      ,54,Metepec,1,Metepec,7227641939,,,19.26400624,-99.6015552,258,41
FMR12_03,FERRETERIA LA FERRE,,0 a 5 personas,CALLE LA PARCELA  UNIDAD HABITACIONAL ANDRES MOLINA ENRIQUEZ,52149,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.25991825,-99.59070071,1218,5
FMR02_07,FERRETERIA LA IMPERIAL,,0 a 5 personas,CALLE AVENIDA 27 DE SEPTIEMBRE 46 COLONIA INFONAVIT TOLLOCAN II,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.27804497,-99.59432774,968,13
FMR10_01,FERRETERIA LA PURISIMA,,0 a 5 personas,CALLE LEONA VICARIO 801 BARRIO COAXUSCO,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,7222320012,,,19.261701,-99.61164294,722,10
FMR04_03,FERRETERIA LA SIRENITA,,0 a 5 personas,CALLE VICENTE GUERRERO  PUEBLO SANTA MARIA MAGDALENA OCOTITLAN,52140,15,MÉXICO                      ,54,Metepec,55,Santa María Magdalena Ocotitlán,,,,19.2391197,-99.63058673,506,29
FMR06_08,FERRETERIA LAS AMÉRICAS,,0 a 5 personas,CALLE GUADALUPE VICTORIA 51 COLONIA LAS JARAS METEPEC,52169,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,,,,19.2562702,-99.62685326,1059,21
FMR08_05,FERRETERIA LAUMAU,,0 a 5 personas,AVENIDA ESTADO DE MEXICO 213 BARRIO SAN MIGUEL,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,,FERRETERIALAUMAU@GMAIL.COM,,19.25015475,-99.59960123,578,2
FMR14_02,FERRETERIA LEO,,0 a 5 personas,CALLE ADOLFO LOPEZ MATEOS  COLONIA AGRICOLA LAZARO CARDENAS,52148,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,7222715569,,,19.25713997,-99.56116627,1237,5
FMR02_05,FERRETERIA LEON,,0 a 5 personas,AVENIDA MANUEL J. CLOUTHIER 600 COLONIA SAN JERONIMO CHICAHUALCO,52172,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.27939252,-99.59430024,968,14
FMR15_08,FERRETERIA LIBRA,,0 a 5 personas,AVENIDA NACIONAL  COLONIA SAN GASPAR TLAHUELILPAN,52147,15,MÉXICO                      ,54,Metepec,35,San Gaspar Tlahuelilpan,,,,19.23964756,-99.54856291,633,26
FMR01_07,FERRETERIA LUNA,,0 a 5 personas,CALLE AVENIDA 16 DE SEPTIEMBRE 99 COLONIA INFONAVIT TOLLOCAN II,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.28057486,-99.59187312,968,7
FMR04_08,FERRETERIA MANUEL,,0 a 5 personas,CALLE BENITO JUAREZ  COLONIA SANTA MARIA MAGDALENA OCOTITLAN,52161,15,MÉXICO                      ,54,Metepec,55,Santa María Magdalena Ocotitlán,,,,19.23661308,-99.62037582,506,12
FMR04_05,FERRETERIA MATERIALES ESTRADA,,0 a 5 personas,CALLE LIBERTAD  COLONIA SANTA MARIA MAGDALENA OCOTITLAN,52160,15,MÉXICO                      ,54,Metepec,55,Santa María Magdalena Ocotitlán,7223788647,,,19.23584481,-99.62330888,506,5
FMR01_06,FERRETERIA MATERIALES GUZMAN,,0 a 5 personas,CALLE PUERTO DE MAZATLAN 23 COLONIA INFONAVIT TOLLOCAN II,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7221268768,HANIAAN@GMAIL.COM,,19.2826189,-99.58724665,968,9
FMR14_06,FERRETERIA METEPEC,,0 a 5 personas,CALLE ADOLFO LOPEZ MATEOS  COLONIA AGRICOLA LAZARO CARDENAS,52148,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.25659234,-99.55448531,1237,9
FMR11_03,FERRETERIA MEXICO,,0 a 5 personas,CALLE CIRCUITO CUAUHTEMOC 49 COLONIA IZCALLI CUAUHTEMOC II,52176,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,7222759684,,,19.27317979,-99.59239374,1148,1
FMR07_10,FERRETERIA MEXICO,,0 a 5 personas,CALLE GUSTAVO BAZ 92 COLONIA HIPICO,52156,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.26490382,-99.6284718,826,16
FMR02_02,FERRETERIA MOSC,,0 a 5 personas,AVENIDA BAJA VELOCIDAD  COLONIA PILARES,52179,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7222118962,,,19.28681997,-99.59464653,092A,26
FMR10_06,FERRETERIA PORTALES,,0 a 5 personas,PRIVADA LA OLLA 28 COLONIA INFONAVIT SAN FRANCISCO,52176,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.26651766,-99.59725338,1171,3
FMR04_07,FERRETERIA RADI,,0 a 5 personas,CALLE MIGUEL HIDALGO  LOCALIDAD SANTA MARIA MAGDALENA OCOTITLAN,52161,15,MÉXICO                      ,54,Metepec,55,Santa María Magdalena Ocotitlán,7222326944,,,19.23557388,-99.62163366,506,16
FMR10_07,FERRETERIA RENEDO,FERRETERIA Y TLAPALERIA ,0 a 5 personas,PRIVADA ZACATEPEC 15 COLONIA INFONAVIT SAN FRANCISCO,52176,15,MÉXICO                      ,54,Metepec,1,Metepec,,,,19.26544881,-99.59878323,258,27
FMR11_09,FERRETERIA RODCAS,,0 a 5 personas,CALLE MIGUEL HIDALGO 847 COLONIA LA PROVIDENCIA,52177,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.27296776,-99.60442024,898,4
FMR03_03,FERRETERIA SALCAS,,0 a 5 personas,CALLE 16 DE SEPTIEMBRE 10 COLONIA CASA BLANCA,52175,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.27850639,-99.60627798,915,2
FMR16_04,FERRETERIA SAMANTHA,,0 a 5 personas,CALLE INSURGENTES  BARRIO SAN LUCAS TUNCO,52145,15,MÉXICO                      ,54,Metepec,43,San Lucas Tunco (San Lucas),7222500552,,,19.2304135,-99.53367766,741,27
FMR07_02,FERRETERIA SAN GABRIEL,,0 a 5 personas,CALLE VIALIDAD LAS TORRES (SOLIDARIDAD) 100 COLONIA INFONAVIT SAN GABRIEL,52159,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,7222166061,,,19.27414836,-99.62104186,845,7
FMR08_01,FERRETERIA SAN JORGE,,0 a 5 personas,AVENIDA LAS PALMAS  COLONIA LA MAGDALENA OCOTITLAN,52161,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,,PERLAPG67@OUTLOOK.COM,,19.24426361,-99.62768976,1082,43
FMR05_01,FERRETERIA SAN JOSE,,0 a 5 personas,CALLE JOSEFA ORTIZ DE DOMINGUEZ  LOCALIDAD SAN BARTOLOME TLALTELULCO,50162,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22746523,-99.63232589,31,2
FMR05_08,FERRETERIA SAN JOSE,,0 a 5 personas,CALLE MARIANO MATAMOROS 42 PUEBLO SANTIAGO,52160,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22628295,-99.62694249,31,34
FMR05_02,FERRETERIA SAN JOSE,,0 a 5 personas,CALLE JOSEFA ORTIZ DE DOMINGUEZ  LOCALIDAD SAN BARTOLOME TLALTELULCO,52162,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22724991,-99.63232997,31,29
FMR08_08,FERRETERIA SAN LORENZO,,0 a 5 personas,CALLE MIGUEL HIDALGO  LOCALIDAD SAN LORENZO COACALCO,52140,15,MÉXICO                      ,54,Metepec,41,San Lorenzo Coacalco (San Lorenzo),7228889504,,,19.24081866,-99.59778664,756,6
FMR16_07,FERRETERIA SAN LUCAS,,0 a 5 personas,CALLE HERMENEGILDO GALEANA  BARRIO SAN SEBASTIAN,51246,15,MÉXICO                      ,54,Metepec,52,San Sebastián,,,,19.23268365,-99.53877252,078A,7
FMR15_02,FERRETERIA SAN MIGUEL,,0 a 5 personas,CALLE NINGUNO  COLONIA SAN GASPAR TLAHUELILPAN,52147,15,MÉXICO                      ,54,Metepec,35,San Gaspar Tlahuelilpan,,,,19.24857469,-99.55218603,633,29
FMR17_02,FERRETERÍA SAN MIGUEL,,6 a 10 personas,CALLE INDEPENDENCIA 6 COLONIA SAN MIGUEL TOTOCUITLAPILCO,52143,15,MÉXICO                      ,54,Metepec,47,San Miguel Totocuitlapilco,,,,19.23125901,-99.59320579,652,19
FMR02_10,FERRETERIA SIN NOMBRE,,0 a 5 personas,CALLE PUERTO DE GUAYMAS  COLONIA FRACC RENACIMIENTO,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.27849487,-99.59734675,934,7
FMR05_06,FERRETERIA SIN NOMBRE,,0 a 5 personas,CALLE METEPEC-ZACANGO  PUEBLO SANTIAGO,52160,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22107175,-99.62979564,31,45
FMR15_05,FERRETERIA SIN NOMBRE,,0 a 5 personas,CALLE CHIHUAHUA  PUEBLO SAN GASPAR TLAHUELILPAN,52147,15,MÉXICO                      ,54,Metepec,35,San Gaspar Tlahuelilpan,,,,19.24540894,-99.54365076,648,7
FMR14_05,FERRETERIA SIN NOMBRE,,0 a 5 personas,CALLE ADOLFO LOPEZ MATEOS  COLONIA AGRICOLA LAZARO CARDENAS,52148,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.25660173,-99.55466499,1237,9
FMR03_05,FERRETERIA SUSY,,0 a 5 personas,AVENIDA CAMINO VIEJO A METEPEC  COLONIA CASA BLANCA,52175,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.28461437,-99.60678026,915,16
FMR11_05,FERRETERIA TALADRO,,0 a 5 personas,CALLE ALCATRACES 34 COLONIA IZCALLI CUAUHTEMOC II,52176,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.27100307,-99.59432942,1152,16
FMR06_02,FERRETERIA TRUPER,,0 a 5 personas,CALLE CEBORUCO 6 COLONIA XINANTECATL,52160,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,,,,19.26077986,-99.63342933,1010,25
FMR07_04,FERRETERIA TRUPER,FERRETERIA ,0 a 5 personas,CALLE REFORMA 66 LOCALIDAD XINANTECATL,52158,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.27281902,-99.62328885,830,16
FMR04_02,FERRETERIA Y MATERIALES PARA CONSTRUCCION EL LEON 2,,0 a 5 personas,CALLE PROLONGACION HERIBERTO ENRIQUEZ 213 COLONIA JORGE JIMENEZ CANTU,52166,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,7224747991,FERRETERIALEON3@HOTMAIL.COM,,19.25081043,-99.63413932,1082,42
FMR01_10,FERRETERIA Y PLOMERIA MAGOVI,,6 a 10 personas,AVENIDA MANUEL J. CLOUTHIER  COLONIA INFONAVIT TOLLOCAN II,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7227195766,,,19.28112884,-99.59428413,968,15
FMR07_06,FERRETERIA Y TLAPALERIA,,0 a 5 personas,CALLE MIGUEL HIDALGO  LOCALIDAD SAN FRANCISCO COAXUSCO,52158,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.27136228,-99.62944182,830,20
FMR05_09,FERRETERIA Y TLAPALERIA,,0 a 5 personas,CALLE GUERRERO  LOCALIDAD SANTIAGO,52160,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22690055,-99.62786142,31,20
FMR06_04,FERRETERIA Y TLAPALERIA CFRISTO REY,,0 a 5 personas,CALLE EJERCITO DEL TRABAJO 660 COLONIA JESUS JIMENEZ GALLARDO,52167,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,,,,19.25933001,-99.6351037,1044,14
FMR03_07,FERRETERIA Y TLAPALERIA EL NIVELITO,,0 a 5 personas,CALLE JOSEFA ORTIZ DE DOMINGUEZ 7 COLONIA PILARES,52179,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7222112744,,,19.28376764,-99.60163448,092A,12
FMR10_03,FERRETERIA Y TLAPALERIA FEROSSITA,,0 a 5 personas,CALLE 5 DE MAYO 33 BARRIO BARRIO DE SAN MATEO,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,,,,19.25823193,-99.60377574,737,20
